ADM_CD,ADM_NM,lat,lng,행정동코드,시도,시군구,행정동명,행정동명_전체,총인구수,0_4세,5_9세,10_12세,13_15세,16_18세,19_24세,25_34세,35_49세,50_64세,65세이상
33044310,북이면,36.74719173309292,127.54004028433737,4311431000,충청북도,청주시 청원구,북이면,,,,,,,,,,,,
33044510,오근장동,36.69565954853073,127.47893877723186,4311455000,충청북도,청주시 청원구,오근장동,충청북도 청주시 청원구 오근장동,17457.0,507.0,930.0,769.0,892.0,780.0,968.0,1850.0,4563.0,3570.0,2628.0
33044520,우암동,36.65084539495954,127.4864555705886,4311451000,충청북도,청주시 청원구,우암동,충청북도 청주시 청원구 우암동,12025.0,147.0,173.0,164.0,178.0,224.0,1450.0,1883.0,1792.0,2723.0,3291.0
33044530,내덕1동,36.658796195714416,127.48022129965568,4311452000,충청북도,청주시 청원구,내덕1동,충청북도 청주시 청원구 내덕1동,7578.0,69.0,106.0,117.0,133.0,135.0,341.0,829.0,1131.0,2110.0,2607.0
33044540,내덕2동,36.656545957365765,127.49592682516922,4311453000,충청북도,청주시 청원구,내덕2동,충청북도 청주시 청원구 내덕2동,12605.0,282.0,296.0,230.0,303.0,306.0,1221.0,1612.0,2336.0,3097.0,2922.0
33044550,율량·사천동,36.66575767488752,127.49921105686752,4311454000,충청북도,청주시 청원구,율량.사천동,충청북도 청주시 청원구 율량.사천동,46487.0,1079.0,1576.0,1307.0,1463.0,1464.0,3027.0,7399.0,9937.0,11503.0,7732.0
33520110,보은읍,36.4916507752356,127.71453752423648,4372025000,충청북도,보은군,보은읍,,,,,,,,,,,,
33520310,속리산면,36.52052696513212,127.83707907849066,4372031500,충청북도,보은군,속리산면,,,,,,,,,,,,
33520320,장안면,36.479116264834914,127.80828498144432,4372032500,충청북도,보은군,장안면,,,,,,,,,,,,
33520330,마로면,36.42049678340376,127.84860126670392,4372033000,충청북도,보은군,마로면,,,,,,,,,,,,
33520340,탄부면,36.43790800669635,127.77827896550438,4372034000,충청북도,보은군,탄부면,,,,,,,,,,,,
33520350,삼승면,36.41912886814768,127.73622592437025,4372035000,충청북도,보은군,삼승면,,,,,,,,,,,,
33520360,수한면,36.46182753082394,127.67110998883236,4372036000,충청북도,보은군,수한면,,,,,,,,,,,,
33520370,회남면,36.43252002282945,127.56923382268928,4372037000,충청북도,보은군,회남면,,,,,,,,,,,,
33520380,회인면,36.500602130754,127.60061271889371,4372038500,충청북도,보은군,회인면,,,,,,,,,,,,
33520390,내북면,36.551443639520215,127.66018800579768,4372039000,충청북도,보은군,내북면,,,,,,,,,,,,
33520400,산외면,36.57272013909032,127.75467570401196,4372040000,충청북도,보은군,산외면,,,,,,,,,,,,
33530110,옥천읍,36.3039817144352,127.57745588903587,4373025000,충청북도,옥천군,옥천읍,,,,,,,,,,,,
33530310,동이면,36.306499079300295,127.6317972254313,4373031000,충청북도,옥천군,동이면,충청북도 옥천군 동이면,3103.0,28.0,24.0,25.0,31.0,37.0,61.0,147.0,264.0,974.0,1512.0
33530320,안남면,36.35409780560342,127.67894399743896,4373032000,충청북도,옥천군,안남면,,,,,,,,,,,,
33530330,안내면,36.392782187538046,127.6586756854843,4373033000,충청북도,옥천군,안내면,,,,,,,,,,,,
33530340,청성면,36.33010602844443,127.73294725563704,4373034000,충청북도,옥천군,청성면,,,,,,,,,,,,
33530350,청산면,36.340815920609145,127.81679058737043,4373035000,충청북도,옥천군,청산면,,,,,,,,,,,,
33530360,이원면,36.21912301532241,127.62303257416112,4373036000,충청북도,옥천군,이원면,,,,,,,,,,,,
33530370,군서면,36.27173251646842,127.52022813601953,4373037000,충청북도,옥천군,군서면,,,,,,,,,,,,
33530380,군북면,36.35305528121994,127.56630756948827,4373038000,충청북도,옥천군,군북면,,,,,,,,,,,,
33540110,영동읍,36.16812712570697,127.80894050007116,4374025000,충청북도,영동군,영동읍,충청북도 영동군 영동읍,19223.0,388.0,531.0,508.0,555.0,570.0,1102.0,1783.0,3130.0,5286.0,5370.0
33540310,용산면,36.26043019001169,127.802640061336,4374031000,충청북도,영동군,용산면,충청북도 영동군 용산면,3143.0,15.0,25.0,17.0,37.0,41.0,81.0,196.0,283.0,984.0,1464.0
33540320,황간면,36.235114447583456,127.89738389476317,4374032000,충청북도,영동군,황간면,충청북도 영동군 황간면,3873.0,33.0,45.0,49.0,75.0,80.0,114.0,185.0,388.0,1123.0,1781.0
33540330,추풍령면,36.229300817094725,127.99597184360609,4374033500,충청북도,영동군,추풍령면,충청북도 영동군 추풍령면,2073.0,22.0,17.0,15.0,27.0,30.0,56.0,80.0,165.0,631.0,1030.0
33540340,매곡면,36.16796171286576,127.95193931738731,4374034000,충청북도,영동군,매곡면,충청북도 영동군 매곡면,1738.0,20.0,15.0,16.0,17.0,16.0,58.0,65.0,132.0,507.0,892.0
33540350,상촌면,36.1024074196183,127.8996195752948,4374035000,충청북도,영동군,상촌면,충청북도 영동군 상촌면,2119.0,8.0,19.0,18.0,19.0,24.0,44.0,66.0,139.0,588.0,1194.0
33540360,양강면,36.11821173122691,127.76786212681311,4374036000,충청북도,영동군,양강면,충청북도 영동군 양강면,2868.0,22.0,23.0,27.0,31.0,45.0,82.0,191.0,241.0,897.0,1309.0
33540370,용화면,36.04691009354421,127.7726397441499,4374037000,충청북도,영동군,용화면,충청북도 영동군 용화면,890.0,6.0,10.0,9.0,14.0,11.0,16.0,30.0,57.0,263.0,474.0
33540380,학산면,36.081793427791325,127.69711912044409,4374038000,충청북도,영동군,학산면,충청북도 영동군 학산면,2554.0,9.0,29.0,8.0,23.0,32.0,40.0,94.0,167.0,746.0,1406.0
33540390,양산면,36.14651488867933,127.64007365936892,4374039000,충청북도,영동군,양산면,충청북도 영동군 양산면,1687.0,10.0,9.0,9.0,20.0,17.0,43.0,53.0,128.0,499.0,899.0
33540400,심천면,36.218876692397,127.7018114871302,4374040000,충청북도,영동군,심천면,충청북도 영동군 심천면,2875.0,23.0,19.0,22.0,24.0,28.0,56.0,107.0,232.0,797.0,1567.0
33550110,진천읍,36.84725329589253,127.40294763384772,4375025000,충청북도,진천군,진천읍,,,,,,,,,,,,
33550120,덕산읍,36.90052781799,127.51282588602038,4375025300,충청북도,진천군,덕산읍,,,,,,,,,,,,
